date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:27	59356/59356	---MCZ	200	added ('OK')	text/css	etag:W/%2264454cb0-e7dc%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/fontawesome-all.min.css?v=20240713	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/css/fontawesome-all.min241a.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:27	1501/1501	---MCZ	200	added ('OK')	text/css	etag:W/%2264454cb0-5dd%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/neela-icon-set.css?v=20240713	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/css/neela-icon-set241a.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:27	3352/3352	---MCZ	200	added ('OK')	text/css	etag:W/%2264454cb0-d18%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/owl.carousel.min.css?v=20240713	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/css/owl.carousel.min241a.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:27	38004/38004	---MCZ	200	added ('OK')	text/css	etag:W/%2263c75cfe-9474%22	https://nhuhuy-tuyetmai.iwedding.info/common/calendar.css?v=20240713	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/common/calendar241a.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:27	198026/198026	---MCZ	200	added ('OK')	text/css	etag:W/%226720515a-3058a%22	https://thiepcuoionline.huythanhjewelry.vn/css/style.css?v=0.0.6	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/css/stylef984.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:28	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/anh%20cuoi/www.google-analytics.com/analytics.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:29	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/anh%20cuoi/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:29	74636/74636	---MCZ	200	added ('OK')	text/css	etag:W/%22671af6ab-1238c%22	https://thiepcuoionline.huythanhjewelry.vn/css/main.css?v=1.0.45	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/css/maina094.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:30	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2266fa79f9-7918%22	https://thiepcuoionline.huythanhjewelry.vn/css/residual.css?v=1.0.4	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/css/residuale166.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:30	369753/369753	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267062f1c-5a459%22	https://thiepcuoionline.huythanhjewelry.vn/js/frontend.js	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/js/frontend.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:30	8069/8069	---MCZ	200	added ('OK')	text/css	etag:W/%226335823b-1f85%22	https://adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.css	C:/My%20Web%20Sites/anh%20cuoi/adminlte.io/themes/v3/plugins/daterangepicker/daterangepicker.css	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:31	9085/9085	---M-Z	200	added ('OK')	application/javascript	etag:W/%22237d-QFTFwhbr31D1NAQBfK+20fgJGBE%22	https://cdn.jsdelivr.net/npm/@flasher/flasher@1.3.2/dist/flasher.min.js	C:/My%20Web%20Sites/anh%20cuoi/cdn.jsdelivr.net/npm/@flasher/flasher@1.3.2/dist/flasher.min.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:31	100772/100772	---M--	200	added ('OK')	image/png	etag:%226708ff23-189a4%22	https://thiepcuoionline.huythanhjewelry.vn/img/HUY_THANH_LOGO_TALES.png	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/img/HUY_THANH_LOGO_TALES.png	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:31	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Feb%202025%2014:18:31%20GMT	https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/%22https://thiepcuoionline.huythanhjewelry.vn/img/banner.jpg%22	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/_https_/thiepcuoionline.huythanhjewelry.vn/img/banner.jpg_	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:31	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Feb%202025%2014:18:31%20GMT	https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/%22https://thiepcuoionline.huythanhjewelry.vn/storage/GeGRcXZd1Z.webp%22	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/_https_/thiepcuoionline.huythanhjewelry.vn/storage/GeGRcXZd1Z.webp_	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:32	17759/17759	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Feb%202025%2014:18:31%20GMT	https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/rsvp	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/rsvp.html	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:32	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Feb%202025%2014:18:31%20GMT	https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/%22https://thiepcuoionline.huythanhjewelry.vn/storage/47DOgTWR1v.webp%22	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/_https_/thiepcuoionline.huythanhjewelry.vn/storage/47DOgTWR1v.1a.delayed	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:32	77459/77459	---M--	200	added ('OK')	image/png	etag:%2264454cb0-12e93%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/images/jquery.minicolors.png	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/images/jquery.minicolors.png	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:32	2312/2312	---M--	200	added ('OK')	image/png	etag:%22670e18f0-908%22	https://thiepcuoionline.huythanhjewelry.vn/img/menu/gift.png	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/img/menu/gift.png	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:32	552052/552052	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267039ec4-86c74%22	https://thiepcuoionline.huythanhjewelry.vn/js/jquery-plugin-collection.js	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/js/jquery-plugin-collection.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:32	4071/4071	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267039e3f-fe7%22	https://thiepcuoionline.huythanhjewelry.vn/js/variables.js	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/js/variables.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:33	39779/39779	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267109ada-9b63%22	https://thiepcuoionline.huythanhjewelry.vn/js/scripts.js	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/js/scripts.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:33	46993/46993	---MCZ	200	added ('OK')	application/javascript	etag:W/%226709dd47-b791%22	https://thiepcuoionline.huythanhjewelry.vn/js/template.settings.js	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/js/template.settings.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:33	21721/21721	---MCZ	200	added ('OK')	application/javascript	etag:W/%22671e40fe-54d9%22	https://thiepcuoionline.huythanhjewelry.vn/js/biiiiiiiiiiiii.js	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/js/biiiiiiiiiiiii.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:33	1340/1340	---MCZ	200	added ('OK')	application/javascript	etag:W/%22670e3165-53c%22	https://thiepcuoionline.huythanhjewelry.vn/common/emoji-picker/js/insertTextAtCursor.js?v=20240713	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/common/emoji-picker/js/insertTextAtCursor241a.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:34	1021/1021	---M--	200	added ('OK')	application/javascript	etag:%22670e314b-3fd%22	https://thiepcuoionline.huythanhjewelry.vn/common/emoji-picker/js/init.js?v=20240713	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/common/emoji-picker/js/init241a.js	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:34	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Feb%202025%2014:18:33%20GMT	https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/POST	C:/My%20Web%20Sites/anh%20cuoi/thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/POST	(from https://thiepcuoionline.huythanhjewelry.vn/toan-ngoc-22022025-1730/moi-cuoi?fbclid=IwY2xjawIixcBleHRuA2FlbQIxMAABHTQMDu9ivYs0rvSEF7DrRXH4a_SK8yIZ0bOp6PpOikbF5lSz1_DCjOYdaA_aem_S_rXZ1xjDG8WI1LTBLT9hQ)
21:18:34	1362/1362	---M--	200	added ('OK')	image/png	etag:%226496ba10-552%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_sprite.png	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_sprite.png	(from https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713)
21:18:35	6567/6567	---M--	200	added ('OK')	image/gif	etag:%226496ba10-19a7%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_loading.gif	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_loading.gif	(from https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713)
21:18:35	43/43	---M--	200	added ('OK')	image/gif	etag:%226496ba10-2b%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/blank.gif	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/blank.gif	(from https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713)
21:18:35	1003/1003	---M--	200	added ('OK')	image/png	etag:%226496ba10-3eb%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_overlay.png	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_overlay.png	(from https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713)
21:18:36	6553/6553	---M--	200	added ('OK')	image/png	etag:%226496ba10-1999%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_sprite%402x.png	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_sprite@2x.png	(from https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713)
21:18:36	13984/13984	---M--	200	added ('OK')	image/gif	etag:%226496ba10-36a0%22	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_loading%402x.gif	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/images/fancybox/fancybox_loading@2x.gif	(from https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713)
21:18:36	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Feb%202025%2014:18:36%20GMT	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/webfonts/lg.eot?	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/css/webfonts/lgd41d.eot	(from https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713)
21:18:36	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Feb%202025%2014:18:36%20GMT	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/img/vimeo-play.png	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/img/vimeo-play.png	(from https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713)
21:18:37	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Feb%202025%2014:18:36%20GMT	https://nhuhuy-tuyetmai.iwedding.info/templates/template19/img/video-play.png	C:/My%20Web%20Sites/anh%20cuoi/nhuhuy-tuyetmai.iwedding.info/templates/template19/img/video-play.png	(from https://nhuhuy-tuyetmai.iwedding.info/templates/template19/css/libs.css?v=20240713)
